Name
Abel Magwitch
Abraham Van Helsing
Agnes Grey
Agnes Wickfield
Akivasha
Al Neri
Albus Dumbledore
Alex Cross
Alex Rider 
Alexandre Manette
Alfie Atkins
Alfred Jingle
Alice 
Alice Lorraine
Alison DiLaurentis
Alyosha Karamazov
Amelia Peabody
Amy March
Anatole Kuragin
Andrei Nikolayevich Bolkonsky
Angelina Ballerina
Anita Blake
Anji Kapoor
Anna Christie
Anna Karenina
Anne of Geierstein
Anne Shirley
Annowre
Anton Chigurh
Aouda
Archie Goodwin 
Aria Montgomery
Ariadne Oliver
Arsène Lupin
Artemis Fowl
Artful Dodger
Arthur Dent
Arthur Hastings
Arthur Havisham
Arthur Holmwood
Arwen
Arya Stark
Askinia Astakhov
Athos
Aunt Fanny 
Aunt Polly
Auric Goldfinger
Ayla 
Bagheera
Barbapapa
Bartholomew Cubbins
Bathilda Bagshot
Becky Sharp
Bêlit 
Bella Swan
Ben Gunn 
Beowulf 
Bernard the Brave
Bernice Summerfield
Bessie Bunter
Beth March
Betsey Trotwood
Beverly Gray
Beverly Marsh
Bill Compton 
Bill Denbrough
Bill Sikes
Billy Bones
Billy Budd
Billy Bunter
Blanche DuBois
Bob Cratchit
Bob Morane
Bran Stark
Bridget Jones
Brienne of Tarth
Brigadier Gerard
Bundle Brent
Camille Raquin
Captain Ahab
Captain Flint
Captain Hook
Captain Nemo
Captain Phoebus
Captain Sabertooth
Caractacus Pott
Carlotta 
Carmela Corleone
Carrie White
Cassie Sullivan
Catelyn Stark
Célimène
Cersei Lannister
Charles Darnay
Charley Bates
Cherry Ames
Chris Hargensen
Christine Daaé
Christopher Robin
Ciske de Rat
Clarice Starling
Claude Frollo
Conan the Barbarian
Connie Blair
Connie Corleone
Constance MacKenzie
Coraline Jones
Cosette
Count Dracula
Daario Naharis
Daenerys Targaryen
Dagny Taggart
Daisy Buchanan
Daisy Miller
Dandy Gilver
Danny Torrance
Dark Agnes de Chastillon
David Copperfield 
Davos Seaworth
Dexter Morgan
Diedrich Knickerbocker
Dirk Gently
Doctor De Soto
Dolores Claiborne
Don Juan
Dora Spenlow
Dorothy Gale
Dr. Mabuse
Dr. Watson
Draco Malfoy
Duchess 
Dulcinea del Toboso
Ebenezer Scrooge
Eddie Kaspbrak
Edmund Dantes
Edward Cullen
Edward Murdstone
Elaine of Astolat
Elena Michaels
Elijah Baley
Eline Vere
Elinor Dashwood
Eliza Doolittle
Eliza Harris
Elizabeth Bennet
Elizabeth Lavenza
Ellaria Sand
Elphaba
Emily Blandish
Emily Fields
Emmanuel Goldstein
Emperor Zhark
Éponine
Eric van der Woodsen
Ernest Defarge
Esmeralda 
Estella 
Esther Summerson
Eugene Onegin
Eugénie Grandet
Faith Cavendish
Fanny Hill
Fantine
Fantômette
Father Callahan
Father Mapple
Faust
Fitz Kreiner
Flat Stanley
Ford Prefect 
Forrest Gump 
Frances Goldsmith
Francis Urquhart
Freddy Lounds
Frederick Chilton
Fu Manchu
Fyodor Karamazov
Gage Creed
Galadriel
Gendry
George Milton
Gertrude of Wyoming
Ghost of Christmas Present
Gilly 
Ginés de Pasamonte
Ginny Gordon
Ginny Weasley
Glinda
Glumdalclitch
Golliwog
Goneril
Gradgrind
Grand Admiral Thrawn
Grand High Witch
Grandfather Paradox 
Grant Markham
Greg Heffley
Gregor Clegane
Gregor Melekhov
Gregor Samsa
Grendel
Gwynplaine
Håkan Bråkan
HAL 9000
Hanna Marin
Hannibal Lecter
Hari Seldon
Harry Dresden
Harry Potter 
Heffalump
Heidi
Helen Lawson
Hélène Kuragina
Hellawes 
Henry Clerval
Hercule Poirot
Hermione Granger
Hester Prynne
Hester Shaw
High Sparrow
Holden Caulfield
Holly Short
Honoré Lechasseur
Honoria Glossop
Horatio Hornblower
Huckleberry Finn
India Wilkes
Inigo Montoya
Inspector Japp
Inspector Lestrade
Irene Adler
Iris Wildthyme
Irving Braxiatel
Ishmael 
Jacen Solo
Jack Crawford 
Jackie Brown
Jacob Marley
James Bond 
James Steerforth
Jane Eyre
Jane Porter 
Jarvis Lorry
Jason Kane 
Jason Stackhouse
Jean Passepartout
Jemima Puddle-Duck
Jenna Marshall
Jerry Cruncher
Jim 
Jim Hawkins 
"Jimmy ""Popeye"" Doyle"
Jip and Janneke
Jip and Janneke
Jirel of Joiry
Jo March
Joachim Stiller
Joe Goldberg
John Barsad
John Galt
John Rambo
John Seward
John Wemmick
John Willoughby
Johnny Smith 
Johnny Tremain
Jon Snow 
Jonathan Harker
