Name,City,State,Type,Debt
Calvin College,Grand Rapids,MI,Private,29403
Coe College,Cedar Rapids,IA,Private,31992
D'Youville College,Buffalo,NY,Private,33169
Dakota State University,Madison,SD,Public,24728
Fordham University,Bronx,NY,Private,37607
Kansas Wesleyan University,Salina,KS,Private,31230
Kentucky State University,Frankfort,KY,Public,34110
Lawrence University,Appleton,WI,Private,33755
Millersville University of Pennsylvania,Millersville,PA,Public,29791
Mount Olive College,Mount Olive,NC,Private,28241
Nebraska Methodist College of Nursing & Allied Health,Omaha,NE,Private,31591
Ohio University-Lancaster Campus,Lancaster,OH,Public,27645
Rose-Hulman Institute of Technology,Terre Haute,IN,Private,35420
Saint Mary's College,Notre Dame,IN,Private,30910
Sterling College,Sterling,KS,Private,28221
Trinity College,Hartford,CT,Private,28237
University of California-Santa Barbara,Santa Barbara,CA,Public,21045
University of Maine,Orono,ME,Public,33875
University of West Georgia,Carrollton,GA,Public,27494
University of Wisconsin-River Falls,River Falls,WI,Public,27134
University of Wisconsin-Whitewater,Whitewater,WI,Public,27623
Ursuline College,Pepper Pike,OH,Private,29542
Virginia State University,Petersburg,VA,Public,28250
