Institution,State,Debt
University of Alaska Anchorage,AK,11336
University of Alaska Fairbanks,AK,11247
University of Alaska Southeast,AK,11750
AVTEC-Alaska's Institute of Technology,AK,5500
Prince William Sound Community College,AK,11336
Alabama A & M University,AL,19500
University of Alabama at Birmingham,AL,16250
University of Alabama in Huntsville,AL,16500
Alabama State University,AL,15854
The University of Alabama,AL,17750
Central Alabama Community College,AL,7554
Athens State University,AL,14000
Auburn University at Montgomery,AL,10750
Auburn University,AL,18250
Chattahoochee Valley Community College,AL,4569
Enterprise State Community College,AL,6000
James H Faulkner State Community College,AL,5500
Gadsden State Community College,AL,333
George C Wallace State Community College-Hanceville,AL,8250
Jacksonville State University,AL,16500
Jefferson Davis Community College,AL,2000
Jefferson State Community College,AL,5057
John C Calhoun State Community College,AL,5500
University of West Alabama,AL,13500
Marion Military Institute,AL,5500
University of Montevallo,AL,15872
Northwest-Shoals Community College,AL,5500
University of North Alabama,AL,12542
Northeast Alabama Community College,AL,3500
Snead State Community College,AL,3500
University of South Alabama,AL,15000
Troy University,AL,17750
Southern Union State Community College,AL,5400
Troy University-Phenix City Campus,AL,17750
Troy University-Montgomery Campus,AL,17750
Troy University-Dothan Campus,AL,17750
Troy University-eTROY,AL,17750
Troy University-Global Campus,AL,17750
University of Arkansas at Little Rock,AR,14250
University of Arkansas for Medical Sciences,AR,12500
University of Arkansas,AR,14990
University of Arkansas at Pine Bluff,AR,13698
Arkansas State University-Beebe,AR,5250
Arkansas State University-Main Campus,AR,13300
Arkansas Tech University,AR,10043
University of Arkansas at Monticello,AR,8250
Black River Technical College,AR,7698
University of Central Arkansas,AR,11864
East Arkansas Community College,AR,2250
National Park Community College,AR,10500
University of Arkansas Community College-Batesville,AR,7900
Henderson State University,AR,10443
Arkansas Northeastern College,AR,3619
North Arkansas College,AR,9312
College of the Ouachitas,AR,6804
Ozarka College,AR,9500
University of Arkansas Community College-Morrilton,AR,5500
Phillips Community College of the University of Arkansas,AR,4500
Southeast Arkansas College,AR,4633
Pulaski Technical College,AR,13727
University of Arkansas Community College-Hope,AR,3500
South Arkansas Community College,AR,9000
Southern Arkansas University Main Campus,AR,10500
Southern Arkansas University Tech,AR,4878
University of Arkansas-Fort Smith,AR,8240
NorthWest Arkansas Community College,AR,8900
Arkansas State University-Mountain Home,AR,13300
Arkansas State University-Newport,AR,3595
Arizona State University-Tempe,AZ,16250
Arizona Western College,AZ,4750
University of Arizona,AZ,13500
Central Arizona College,AZ,5584
Cochise College,AZ,4500
Glendale Community College,AZ,4474
GateWay Community College,AZ,7000
Mesa Community College,AZ,5065
