Name,City,State,Type,Debt
University of Pennsylvania,Philadelphia,PA,Private,19442
Montana State University-Billings,Billings,MT,Public,27225
Pacific University,Forest Grove,OR,Private,25844
Eastern Washington University,Cheney,WA,Public,27259
Mount Olive College,Mount Olive,NC,Private,28241
University of Arkansas,Fayetteville,AR,Public,24120
Case Western Reserve University,Cleveland,OH,Private,33343
Bloomfield College,Bloomfield,NJ,Private,33443
University of North Carolina Wilmington,Wilmington,NC,Public,25644
Stephen F Austin State University,Nacogdoches,TX,Public,27278
Thomas College,Waterville,ME,Private,36278
Clayton  State University,Morrow,GA,Public,30423
Kentucky State University,Frankfort,KY,Public,34110
University of Maine,Orono,ME,Public,33875
Brevard College,Brevard,NC,Private,35211
Kansas Wesleyan University,Salina,KS,Private,31230
Saint Leo University,Saint Leo,FL,Private,27436
Life University,Marietta,GA,Private,30000
SUNY at Purchase College,Purchase,NY,Public,26348
Marywood University,Scranton,PA,Private,41559
Indiana University-South Bend,South Bend,IN,Public,29919
Marylhurst University,Marylhurst,OR,Private,34399
Carroll College,Helena,MT,Private,26996
Southwestern Oklahoma State University,Weatherford,OK,Public,16262
University of Illinois at Chicago,Chicago,IL,Public,23158
SUNY College of Agriculture and Technology at Cobleskill,Cobleskill,NY,Public,24952
University of Connecticut,Storrs,CT,Public,24999
Rose-Hulman Institute of Technology,Terre Haute,IN,Private,35420
Georgetown University,Washington,DC,Private,22464
Saint Mary's College of California,Moraga,CA,Private,32803
Franklin College,Franklin,IN,Private,32451
Lawrence Technological University,Southfield,MI,Private,38966
Reed College,Portland,OR,Private,19151
Principia College,Elsah,IL,Private,23732
Menlo College,Atherton,CA,Private,29943
Pomona College,Claremont,CA,Private,16273
University of Tulsa,Tulsa,OK,Private,29161
Lincoln Memorial University,Harrogate,TN,Private,19987
Drew University,Madison,NJ,Private,24778
Florida Atlantic University,Boca Raton,FL,Public,21448
State University of New York at New Paltz,New Paltz,NY,Public,25874
Metropolitan State University of Denver,Denver,CO,Public,28468
California State University-Los Angeles,Los Angeles,CA,Public,14788
University of Nebraska-Lincoln,Lincoln,NE,Public,23395
Azusa Pacific University,Azusa,CA,Private,20612
Cedarville University,Cedarville,OH,Private,29105
Marietta College,Marietta,OH,Private,39708
California Institute of the Arts,Valencia,CA,Private,38770
University of South Carolina-Aiken,Aiken,SC,Public,28104
College of Saint Mary,Omaha,NE,Private,29538
St Thomas Aquinas College,Sparkill,NY,Private,28750
Loras College,Dubuque,IA,Private,34514
University of North Florida,Jacksonville,FL,Public,19253
Evangel University,Springfield,MO,Private,30179
University of Wisconsin-Madison,Madison,WI,Public,26579
San Francisco Conservatory of Music,San Francisco,CA,Private,24500
Randolph-Macon College,Ashland,VA,Private,34930
Glenville State College,Glenville,WV,Public,27932
Chapman University,Orange,CA,Private,27979
Northwest University,Kirkland,WA,Private,27479
University of Alaska Anchorage,Anchorage,AK,Public,26569
Miami University-Oxford,Oxford,OH,Public,27181
Saint Mary's College,Notre Dame,IN,Private,30910
Calumet College of Saint Joseph,Whiting,IN,Private,30847
School of Visual Arts,New York,NY,Private,33172
New York School of Interior Design,New York,NY,Private,33146
Hilbert College,Hamburg,NY,Private,20139
Keene State College,Keene,NH,Public,33796
Wellesley College,Wellesley,MA,Private,12956
The University of Findlay,Findlay,OH,Private,34434
Wheeling Jesuit University,Wheeling,WV,Private,29131
San Diego State University,San Diego,CA,Public,18400
Belmont Abbey College,Belmont,NC,Private,27341
University of Vermont,Burlington,VT,Public,27276
Lynn University,Boca Raton,FL,Private,30938
Cooper Union for the Advancement of Science and Art,New York,NY,Private,19072
Loyola University Maryland,Baltimore,MD,Private,34190
Nichols College,Dudley,MA,Private,32747
Bentley University,Waltham,MA,Private,30602
Francis Marion University,Florence,SC,Public,28979
Pennsylvania State University-Penn State Berks,Reading,PA,Public,36935
Saint Joseph's College-New York,Brooklyn,NY,Private,23772
Chaminade University of Honolulu,Honolulu,HI,Private,26323
Adelphi University,Garden City,NY,Private,32328
University of San Diego,San Diego,CA,Private,30225
Hampton University,Hampton,VA,Private,9231
CUNY York College,Jamaica,NY,Public,4745
Massachusetts Maritime Academy,Buzzards Bay,MA,Public,37582
Elon University,Elon,NC,Private,27176
California State University-Monterey Bay,Seaside,CA,Public,18992
University of West Georgia,Carrollton,GA,Public,27494
Florida Southern College,Lakeland,FL,Private,24314
Georgia Southwestern State University,Americus,GA,Public,23450
Dakota State University,Madison,SD,Public,24728
University of Alabama at Birmingham,Birmingham,AL,Public,30642
Humboldt State University,Arcata,CA,Public,19351
Washington College,Chestertown,MD,Private,35833
Concordia University-Ann Arbor,Ann Arbor,MI,Private,17853
McKendree University,Lebanon,IL,Private,21731
Grand View University,Des Moines,IA,Private,38160
Bates College,Lewiston,ME,Private,18929
Boston College,Chestnut Hill,MA,Private,21139
Manhattan College,Riverdale,NY,Private,37449
Fairmont State University,Fairmont,WV,Public,26420
Hendrix College,Conway,AR,Private,26203
Fordham University,Bronx,NY,Private,37607
St Catherine University,Saint Paul,MN,Private,39748
University of Pikeville,Pikeville,KY,Private,20087
Luther College,Decorah,IA,Private,36918
Virginia State University,Petersburg,VA,Public,28250
Cairn University-Langhorne,Langhorne,PA,Private,33016
