team,fci,league
Arizona Cardinals,436.09,NFL
Atlanta Falcons,438.33,NFL
Baltimore Ravens,538.66,NFL
Buffalo Bills,391.04,NFL
Carolina Panthers,415.24,NFL
Chicago Bears,601.2,NFL
Cincinnati Bengals,398.47,NFL
Cleveland Browns,401.52,NFL
Dallas Cowboys,634.8,NFL
Denver Broncos,482.22,NFL
Detroit Lions,437.63,NFL
Green Bay Packers,495.87,NFL
Houston Texans,491.11,NFL
Indianapolis Colts,462.75,NFL
Jacksonville Jaguars,347.6,NFL
Kansas City Chiefs,396.02,NFL
Miami Dolphins,398.12,NFL
Minnesota Vikings,474.86,NFL
New England Patriots,624.7,NFL
New Orleans Saints,507.49,NFL
New York Giants,629.62,NFL
New York Jets,553.63,NFL
Oakland Raiders,420.7,NFL
Philadelphia Eagles,530.76,NFL
Pittsburgh Steelers,481.78,NFL
San Diego Chargers,478.19,NFL
San Francisco 49ers,640,NFL
Seattle Seahawks,472.4,NFL
St. Louis Rams,431.85,NFL
Tampa Bay Buccaneers,373.76,NFL
Tennessee Titans,404.58,NFL
Washington Redskins,597.51,NFL
Arizona Diamondbacks,126.89,MLB
Atlanta Braves,174.06,MLB
Baltimore Orioles,163.39,MLB
Boston Red Sox,350.86,MLB
Chicago Cubs,300.73,MLB
Chicago White Sox,208.18,MLB
Cincinnati Reds,166.62,MLB
Cleveland Indians,166.52,MLB
Colorado Rockies,196.6,MLB
Detroit Tigers,213.03,MLB
Houston Astros,220.28,MLB
Kansas City Royals,212.04,MLB
Los Angeles Angels of Anaheim,190.16,MLB
Los Angeles Dodgers,218.94,MLB
Miami Marlins,224.83,MLB
Milwaukee Brewers,182.28,MLB
Minnesota Twins,229.36,MLB
New York Mets,219.68,MLB
New York Yankees,337.2,MLB
Oakland Athletics,195,MLB
Philadelphia Phillies,252.18,MLB
Pittsburgh Pirates,175.95,MLB
San Diego Padres,153.45,MLB
San Francisco Giants,241.13,MLB
Seattle Mariners,212,MLB
St. Louis Cardinals,236.81,MLB
Tampa Bay Rays,157.6,MLB
Texas Rangers,190.54,MLB
Toronto Blue Jays,208.28,MLB
Washington Nationals,232.08,MLB
Anaheim Ducks,288.88,NHL
Arizona Coyotes,310.71,NHL
Boston Bruins,509.8,NHL
Buffalo Sabres,290.9,NHL
Calgary Flames,352.12,NHL
Carolina Hurricanes,341.17,NHL
Chicago Blackhawks,463.2,NHL
Colorado Avalanche,295.64,NHL
Columbus Blue Jackets,288.62,NHL
Dallas Stars,263.11,NHL
Detroit Red Wings,307.54,NHL
Edmonton Oilers,393.75,NHL
Florida Panthers,255.55,NHL
Los Angeles Kings,384.99,NHL
Minnesota Wild,383.25,NHL
Montreal Canadiens,410.04,NHL
Nashville Predators,343.14,NHL
New Jersey Devils,313.85,NHL
New York Islanders,299.59,NHL
New York Rangers,479.48,NHL
Ottawa Senators,296.19,NHL
Philadelphia Flyers,386.11,NHL
Pittsburgh Penguins,390.84,NHL
San Jose Sharks,344.42,NHL
St. Louis Blues,327.32,NHL
Tampa Bay Lightning,281.02,NHL
Toronto Maple Leafs,572.58,NHL
Vancouver Canucks,456.35,NHL
Washington Capitals,411.94,NHL
Winnipeg Jets,413.04,NHL
Atlanta Hawks,245.39,NBA
Boston Celtics,444.16,NBA
Brooklyn Nets,404.6,NBA
Charlotte Hornets,212.4,NBA
Chicago Bulls,477.32,NBA
Cleveland Cavaliers,271.74,NBA
Dallas Mavericks,312.2,NBA
Denver Nuggets,322.5,NBA
Detroit Pistons,261.2,NBA
Golden State Warriors,336.52,NBA
Houston Rockets,369.86,NBA
Indiana Pacers,232.44,NBA
Los Angeles Clippers,435.72,NBA
Los Angeles Lakers,541,NBA
Memphis Grizzlies,223.92,NBA
Miami Heat,468.2,NBA
Milwaukee Bucks,325.85,NBA
Minnesota Timberwolves,281.06,NBA
New Orleans Pelicans,221.8,NBA
New York Knicks,676.42,NBA
Oklahoma City Thunder,295.4,NBA
Orlando Magic,263.1,NBA
Philadelphia 76ers,278.9,NBA
Phoenix Suns,341.9,NBA
Portland Trail Blazers,317.08,NBA
Sacramento Kings,280.28,NBA
San Antonio Spurs,340.6,NBA
Toronto Raptors,289.71,NBA
Utah Jazz,275.74,NBA
Washington Wizards,258.78,NBA
