title,author,additional_authors,my_rating,avg_rating,publisher,binding,pages,year_published,month_read,year_read
A Civil War: Army vs. Navy - A Year Inside College Football's Purest Rivalry,"Feinstein, John",,4,4.23,Back Bay Books,Hardcover,464,2014,September,2014
"A Clash of Kings  (A Song of Ice and Fire, #2)","Martin, George R.R.",,5,4.39,Bantam,Paperback,778,1998,August,2015
A Game of Thrones (A Song of Ice and Fire #1),"Martin, George R.R.",,5,4.43,Harper Voyager,Paperback,801,1996,June,2015
A March to Madness: The View from the Floor in the Atlantic Coast Conference,"Feinstein, John",,3,4.03,Back Bay Books,Hardcover,464,1998,December,2010
A Passion to Win,"Nanne, Lou",Jim Bruton,3,3.2,Triumph Books,Hardcover,256,2010,November,2013
A Question of Attraction,"Nicholls, David",,5,3.57,Villard,Hardcover,352,2003,July,2012
A Spot of Bother,"Haddon, Mark",,4,3.45,Doubleday,Hardcover,354,2006,June,2015
"A Stroke of Midnight (Merry Gentry, #4)","Hamilton, Laurell K.",,3,4.05,Ballantine Books,Hardcover,366,2005,August,2015
Academic Duty,"Kennedy, Donald",,5,3.74,Harvard University Press,Hardcover,310,1997,July,2013
Academy X,"Trees, Andrew",,4,2.64,Bloomsbury USA,Hardcover,224,2006,June,2011
"Against All Enemies (Max Moore, #1)","Clancy, Tom",Peter Telep,4,3.95,Putnam Adult,Hardcover,756,2011,December,2012
All the Sad Young Literary Men,"Gessen, Keith",,4,2.9,Viking Adult,Hardcover,242,2008,November,2011
An Accidental Statistician: The Life and Memories of George E. P. Box,"Box, George E.P.",,4,3.35,John Wiley & Sons,Hardcover,275,2013,June,2013
"Angelology (Angelology, #1)","Trussoni, Danielle",,4,3.39,Viking,Hardcover,464,2010,May,2011
Angelopolis,"Trussoni, Danielle",,4,3.34,Penguin Audio,Audio CD,320,2013,April,2013
Archimedes Codex,"Netz, Reviel",William Noel,3,3.85,Weidenfeld & Nicolson,Hardcover,305,2007,January,2011
"Are You There, Vodka? It's Me, Chelsea","Handler, Chelsea",,3,3.84,HarperCollins Publishers,Hardcover,264,2007,April,2011
Armageddon in Retrospect,"Vonnegut, Kurt",,4,3.92,G.P. Putnam's Sons,Hardcover,234,2008,March,2015
Bag Men: A Novel,"Flood, John",,3,3.23,W. W. Norton & Company,Hardcover,256,1997,June,2011
Baseball Hacks: Tips & Tools for Analyzing and Winning with Statistics,"Adler, Joseph","Andrew Odewahn, Tatiana Diaz",4,3.48,O'Reilly Media,Paperback,472,2006,July,2011
Between You & Me: Confessions of a Comma Queen,"Norris, Mary",,5,3.54,W. W. Norton & Company,Hardcover,228,2015,April,2015
Blind Submission,"Ginsberg, Debra",,3,3.29,Shaye Areheart Books,Hardcover,328,2006,September,2011
Bonk: The Curious Coupling of Science and Sex,"Roach, Mary",,4,3.81,W. W. Norton & Company,Hardcover,319,2008,June,2011
Books,"McMurtry, Larry",,4,3.15,Simon & Schuster,Hardcover,259,2008,April,2015
Bridge of Sighs,"Russo, Richard",,5,3.77,Knopf,Hardcover,528,2007,October,2013
Brightness Falls,"McInerney, Jay",,4,3.71,Alfred a Knopf,Hardcover,415,1992,June,2014
Caldecott and Co.: Notes on Books and Pictures,"Sendak, Maurice",,4,4.29,Noonday Press,Hardcover,216,1988,January,2015
Calico Joe,"Grisham, John",,4,3.78,Doubleday,Hardcover,198,2012,February,2013
Catalyst,"Anderson, Laurie Halse",,3,3.61,Viking Juvenile,Hardcover,233,2014,August,2014
"Catching Fire (The Hunger Games, #2)","Collins, Suzanne",,3,4.31,Scholastic Press,Hardcover,405,2009,September,2012
"Command Authority (Jack Ryan, #9)","Clancy, Tom",Mark Greaney,4,4.07,G.P. Putnam's Sons,Hardcover,740,2013,August,2014
Confessions of an Economic Hit Man,"Perkins, John",,3,3.81,Plume,Hardcover,336,2004,September,2013
"Dead Ever After (Sookie Stackhouse, #13)","Harris, Charlaine",,2,3.31,Ace,Hardcover,338,2013,June,2013
"Dead or Alive (Jack Ryan Jr., #2)","Clancy, Tom",Grant Blackwood,4,3.76,G.P. Putnam's Sons,Hardcover,950,2010,December,2011
"Dead Reckoning (Sookie Stackhouse, #11)","Harris, Charlaine",,3,3.75,Ace Books,Hardcover,325,2011,July,2011
"Deadlocked (Sookie Stackhouse, #12)","Harris, Charlaine",,3,3.61,Ace Books,Hardcover,327,2012,July,2012
Death and the Penguin,"Kurkov, Andrey",George Bird,4,3.82,Vintage,Paperback,228,1996,October,2011
"Dexter in the Dark (Dexter, #3)","Lindsay, Jeff",,4,3.47,Doubleday,Hardcover,302,2006,June,2011
Digital Dice: Computational Solutions to Practical Probability Problems,"Nahin, Paul J.",,3,3.96,Princeton University Press,Hardcover,263,2008,April,2011
Distrust That Particular Flavor,"Gibson, William",,3,3.76,G.P. Putnam's Sons,Hardcover,272,2012,June,2014
Don't You Forget About Me,"Dunn, Jancee",,4,3.1,Villard,Hardcover,276,2008,February,2012
"Double Dexter (Dexter, #6)","Lindsay, Jeff",,3,3.81,Doubleday,Hardcover,337,2011,November,2012
"Dreaming in Code: Two Dozen Programmers, Three Years, 4,732 Bugs, and One Quest for Transcendent Software","Rosenberg, Scott",,4,3.66,"Crown Publishing, NY",Hardcover,400,2007,December,2012
Edge,"Deaver, Jeffery",,5,3.97,Simon & Schuster,Hardcover,397,2010,January,2011
Evidence-Based Policy: A Practical Guide to Doing It Better,"Cartwright, Nancy",Jeremy Hardie,3,3.43,"Oxford University Press, USA",Paperback,196,2012,December,2014
Fair Ball: A Fan's Case for Baseball,"Costas, Bob",,4,3.61,Broadway,Hardcover,192,2000,April,2012
Fire In A Canebrake: The Last Mass Lynching In America,"Wexler, Laura",,5,3.91,Scribner Book Company,Hardcover,271,2003,March,2011
Forever's Team,"Feinstein, John",,4,3.88,Villard,Hardcover,375,1989,February,2014
Fortune's Formula: The Untold Story of the Scientific Betting System That Beat the Casinos and Wall Street,"Poundstone, William",,3,4.13,Hill & Wang,Hardcover,400,2005,August,2012
