Readability,Title,Artist,Year,Age,Genre
5,She Will Be Loved,Maroon5,2004,Older,Pop
4.2,The Reason,Hoobastank,2004,Older,Pop
3.9,Leave (Get Out),JoJo,2004,Older,Pop
3.5,Over And Over,Nelly Featuring Tim McGraw,2004,Older,Pop
2.9,Pieces Of Me,Ashlee Simpson,2004,Older,Pop
2.5,Toxic,Britney Spears,2004,Older,Pop
1.8,Hey Ya!,OutKast,2004,Older,Pop
3.9,Slow Down,Bobby Valentino,2005,Older,R&B
3.7,We Belong Together,Mariah Carey,2005,Older,R&B
3.3,Let Me Love You,Mario,2005,Older,R&B
2.7,Soul Survivor,Young Jeezy Featuring Akon,2005,Older,R&B
2.5,Candy Shop,50 Cent Featuring Olivia,2005,Older,R&B
2.2,Gold Digger,Kanye West Featuring Jamie Foxx,2005,Older,R&B
4.9,ThatÍs What I Love About Sunday,Craig Morgan,2005,Older,Country
4,Making Memories Of Us,Kieth Urban,2005,Older,Country
3.5,Better Life,Kieth Urban,2005,Older,Country
2.9,Bless The Broken Road,Rascal Flatts,2005,Older,Country
1.5,As Good As I Once Was,Toby Keith,2005,Older,Country
4.5,Be Yourself,Audioslave,2005,Older,Rock
3.7,Boulevard Of Broken Dreams,Green Day,2005,Older,Rock
3.4,Remedy,Seether,2005,Older,Rock
3.1,Save Me,Shinedown,2005,Older,Rock
3,Best Of You,Foo Fighters,2005,Older,Rock
2.8,Photograph,Nickelback,2005,Older,Rock
4.2,Shake It Off,Mariah Carey,2005,Older,Pop
3.7,We Belong Together,Mariah Carey,2005,Older,Pop
3.7,Boulevard Of Broken Dreams,Green Day,2005,Older,Pop
3.6,Hollaback Girl,Gwen Stefani,2005,Older,Pop
2,Since U Been Gone,Kelly Clarkson,2005,Older,Pop
1.9,Run It!,Chris Brown,2005,Older,Pop
3.1,All Of Me,John Legend,2014,Newer,Pop
1.7,Poker Face,Lady GaGa,2009,Newer,Pop
0.8,The Good Life,Three Days Grace,2010,Newer,Rock
2.4,CanÍt Hold Us,Macklemore & Ryan Lewis Featuring Ray Dalton,2013,Newer,R&B
2.1,Whatcha Say,Jason DeRulo,2009,Newer,Pop
2.7,This Is How We Roll,Florida Georgia Line Featuring Luke Bryan,2014,Newer,Country
4.6,Hips DonÍt Lie,Shakira Featuring Wyclef Jean,2006,Newer,Pop
2.5,YouÍre Gonna Miss This,Trace Adkins,2008,Newer,Country
2.3,Trenches,Pop Evil,2013,Newer,Rock
3.7,SheÍs Everything,Brad Paisley,2007,Newer,Country
2.6,Dynamite,Taio Cruz,2010,Newer,Pop
1.6,Single Ladies (Put A Ring On It),Beyonce,2008,Newer,R&B
4.5,Inside The Fire,Disturbed,2008,Newer,Rock
3.5,New Divide,Linkin Park,2009,Newer,Rock
4.1,Thrift Shop,Macklemore & Ryan Lewis Featuring Wanz,2013,Newer,R&B
3.8,Moment 4 Life,Nicki Minaj Featuring Drake,2011,Newer,R&B
3.3,Stronger (What DoesnÍt Kill You),Kelly Clarkson,2012,Newer,Pop
2.6,Payphone,Maroon 5 Featuring Wiz Khalifa,2012,Newer,Pop
2.7,The Pretender,Foo Fighters,2007,Newer,Rock
2.8,Teenage Dream,Katy Perry,2010,Newer,Pop
2.8,Motivation,Kelly Rowland Featuring Lil Wayne,2011,Newer,R&B
1.8,Gives You Hell,The All-American Rejects,2009,Newer,Pop
2.6,She Will,Lil Wayne Featuring Drake,2011,Newer,R&B
1.5,Wide Awake,Katy Perry,2012,Newer,Pop
3.3,No One,Alicia Keys,2008,Newer,Pop
1.2,Let Me Hear You Scream,Ozzy Osbourne,2010,Newer,Rock
2.6,Felt Good On My Lips,Tim McGraw,2011,Newer,Country
3.7,The Monster,Eminem Featuring Rihanna,2013,Newer,R&B
3.7,Consider Me Gone,Reba,2010,Newer,Country
4.8,E.T.,Katy Perry Featuring Kanye West,2011,Newer,Pop
