college,debt
South Central College-Faribault,9700
Ridgewater College,9500
Inver Hills Community College,9000
Normandale Community College,8707
Central Lakes College-Brainerd,9500
Minnesota State University-Mankato,15116
M State-Detroit Lakes Campus,9575
Anoka Technical College,10500
South Central College,9700
Century College,9500
Southwest Minnesota State University,15750
Anoka-Ramsey Community College,8862
University of Minnesota-Twin Cities,18822
Winona State University,18288
Northland Community and Technical College,10500
Riverland Community College,10461
Minnesota State College-Southeast Technical,10453
Fond du Lac Tribal and Community College,10500
Dakota County Technical College,9990
Bemidji State University,13500
Hennepin Technical College,10066
Central Lakes College-Staples Campus,9500
Pine Technical College,10000
Minnesota West Community and Technical College,10307
Lake Superior College,9250
